Date, Test , ComputeTime
04/03/24, 5000000 @ -O0, 4.776900
04/03/24, 5000000 @ -O1, 4.849704
04/03/24, 5000000 @ -O2, 4.954808
04/03/24, 5000000 @ -O3, 5.076523
04/03/24, 10000000 @ -O0, 16.967627
04/03/24, 10000000 @ -O1, 18.175034
04/03/24, 10000000 @ -O2, 17.259636
04/03/24, 10000000 @ -O3, 17.664978
05/03/24, 500000 @ -O0, 0.037323
05/03/24, 500000 @ -O1, 0.037010
05/03/24, 500000 @ -O2, 0.036786
05/03/24, 500000 @ -O3, 0.037143
05/03/24, 1000000 @ -O0, 0.100538
05/03/24, 1000000 @ -O1, 0.104827
05/03/24, 1000000 @ -O2, 0.106751
05/03/24, 1000000 @ -O3, 0.105223
05/03/24, 5000000 @ -O0, 5.604675
05/03/24, 5000000 @ -O1, 5.722544
05/03/24, 5000000 @ -O2, 5.773369
05/03/24, 5000000 @ -O3, 5.989696
05/03/24, 10000000 @ -O0, 16.919673
05/03/24, 10000000 @ -O1, 17.487067
05/03/24, 10000000 @ -O2, 17.597988
05/03/24, 10000000 @ -O3, 17.682518
06/03/24, 500000 @ -O0, 0.036163
06/03/24, 500000 @ -O1, 0.037093
06/03/24, 500000 @ -O2, 0.037821
06/03/24, 500000 @ -O3, 0.037142
06/03/24, 1000000 @ -O0, 0.102240
06/03/24, 1000000 @ -O1, 0.103869
06/03/24, 1000000 @ -O2, 0.105080
06/03/24, 1000000 @ -O3, 0.103630
06/03/24, 5000000 @ -O0, 4.543638
06/03/24, 5000000 @ -O1, 4.467499
06/03/24, 5000000 @ -O2, 4.596479
06/03/24, 5000000 @ -O3, 4.608821
06/03/24, 10000000 @ -O0, 16.650952
06/03/24, 10000000 @ -O1, 17.263854
06/03/24, 10000000 @ -O2, 17.668186
06/03/24, 10000000 @ -O3, 16.839876
07/03/24, 500000 @ -O0, 0.037054
07/03/24, 500000 @ -O1, 0.037027
07/03/24, 500000 @ -O2, 0.037851
07/03/24, 500000 @ -O3, 0.038034
07/03/24, 1000000 @ -O0, 0.102843
07/03/24, 1000000 @ -O1, 0.104111
07/03/24, 1000000 @ -O2, 0.107034
07/03/24, 1000000 @ -O3, 0.106346
07/03/24, 5000000 @ -O0, 5.412566
07/03/24, 5000000 @ -O1, 5.409094
07/03/24, 5000000 @ -O2, 5.483238
07/03/24, 5000000 @ -O3, 5.247387
07/03/24, 10000000 @ -O0, 16.945325
07/03/24, 10000000 @ -O1, 17.595698
07/03/24, 10000000 @ -O2, 17.497757
07/03/24, 10000000 @ -O3, 17.561437
08/03/24, 500000 @ -O0, 0.037540
08/03/24, 500000 @ -O1, 0.037295
08/03/24, 500000 @ -O2, 0.037593
08/03/24, 500000 @ -O3, 0.037198
08/03/24, 1000000 @ -O0, 0.101568
08/03/24, 1000000 @ -O1, 0.103461
08/03/24, 1000000 @ -O2, 0.102333
08/03/24, 1000000 @ -O3, 0.101318
08/03/24, 5000000 @ -O0, 3.406520
08/03/24, 5000000 @ -O1, 3.944340
08/03/24, 5000000 @ -O2, 4.915434
08/03/24, 5000000 @ -O3, 4.375958
08/03/24, 10000000 @ -O0, 16.647731
08/03/24, 10000000 @ -O1, 14.860787
08/03/24, 10000000 @ -O2, 14.781114
08/03/24, 10000000 @ -O3, 15.068638
09/03/24, 500000 @ -O0, 0.036080
09/03/24, 500000 @ -O1, 0.036978
09/03/24, 500000 @ -O2, 0.037533
09/03/24, 500000 @ -O3, 0.036834
09/03/24, 1000000 @ -O0, 0.100969
09/03/24, 1000000 @ -O1, 0.102290
09/03/24, 1000000 @ -O2, 0.103498
09/03/24, 1000000 @ -O3, 0.102774
09/03/24, 5000000 @ -O0, 5.330210
09/03/24, 5000000 @ -O1, 5.309293
09/03/24, 5000000 @ -O2, 5.405256
09/03/24, 5000000 @ -O3, 5.423415
09/03/24, 10000000 @ -O0, 15.611635
09/03/24, 10000000 @ -O1, 16.205663
09/03/24, 10000000 @ -O2, 18.047727
09/03/24, 10000000 @ -O3, 16.300183
10/03/24, 500000 @ -O0, 0.037082
10/03/24, 500000 @ -O1, 0.036739
10/03/24, 500000 @ -O2, 0.036939
10/03/24, 500000 @ -O3, 0.037472
10/03/24, 1000000 @ -O0, 0.114723
10/03/24, 1000000 @ -O1, 0.105855
10/03/24, 1000000 @ -O2, 0.104748
10/03/24, 1000000 @ -O3, 0.105771
10/03/24, 5000000 @ -O0, 6.011523
10/03/24, 5000000 @ -O1, 6.261551
10/03/24, 5000000 @ -O2, 6.251153
10/03/24, 5000000 @ -O3, 6.251408
10/03/24, 10000000 @ -O0, 18.092656
10/03/24, 10000000 @ -O1, 18.620485
10/03/24, 10000000 @ -O2, 18.639780
10/03/24, 10000000 @ -O3, 18.336481
11/03/24, 500000 @ -O0, 0.036528
11/03/24, 500000 @ -O1, 0.036690
11/03/24, 500000 @ -O2, 0.037085
11/03/24, 500000 @ -O3, 0.036525
11/03/24, 1000000 @ -O0, 0.101186
11/03/24, 1000000 @ -O1, 0.100459
11/03/24, 1000000 @ -O2, 0.102095
11/03/24, 1000000 @ -O3, 0.102355
11/03/24, 5000000 @ -O0, 4.626766
11/03/24, 5000000 @ -O1, 4.256696
11/03/24, 5000000 @ -O2, 4.223501
11/03/24, 5000000 @ -O3, 4.557340
11/03/24, 10000000 @ -O0, 14.592721
11/03/24, 10000000 @ -O1, 14.607297
11/03/24, 10000000 @ -O2, 14.368262
11/03/24, 10000000 @ -O3, 14.496570
12/03/24, 500000 @ -O0, 0.037133
12/03/24, 500000 @ -O1, 0.037331
12/03/24, 500000 @ -O2, 0.037443
12/03/24, 500000 @ -O3, 0.037366
12/03/24, 1000000 @ -O0, 0.102653
12/03/24, 1000000 @ -O1, 0.102853
12/03/24, 1000000 @ -O2, 0.103928
12/03/24, 1000000 @ -O3, 0.103758
12/03/24, 5000000 @ -O0, 5.270450
12/03/24, 5000000 @ -O1, 5.805822
12/03/24, 5000000 @ -O2, 5.647214
12/03/24, 5000000 @ -O3, 5.506138
12/03/24, 10000000 @ -O0, 17.280726
12/03/24, 10000000 @ -O1, 17.827173
12/03/24, 10000000 @ -O2, 17.973008
12/03/24, 10000000 @ -O3, 17.958893
13/03/24, 500000 @ -O0, 0.036725
13/03/24, 500000 @ -O1, 0.036907
13/03/24, 500000 @ -O2, 0.036983
13/03/24, 500000 @ -O3, 0.035988
13/03/24, 1000000 @ -O0, 0.100376
13/03/24, 1000000 @ -O1, 0.102523
13/03/24, 1000000 @ -O2, 0.103284
13/03/24, 1000000 @ -O3, 0.102763
13/03/24, 5000000 @ -O0, 3.225886
13/03/24, 5000000 @ -O1, 3.337789
13/03/24, 5000000 @ -O2, 3.318418
13/03/24, 5000000 @ -O3, 3.193199
13/03/24, 10000000 @ -O0, 14.347408
13/03/24, 10000000 @ -O1, 14.317396
13/03/24, 10000000 @ -O2, 13.623536
13/03/24, 10000000 @ -O3, 13.804180
14/03/24, 500000 @ -O0, 0.035900
14/03/24, 500000 @ -O1, 0.036899
14/03/24, 500000 @ -O2, 0.037057
14/03/24, 500000 @ -O3, 0.037321
14/03/24, 1000000 @ -O0, 0.100362
14/03/24, 1000000 @ -O1, 0.102059
14/03/24, 1000000 @ -O2, 0.102641
14/03/24, 1000000 @ -O3, 0.102620
14/03/24, 5000000 @ -O0, 5.176090
14/03/24, 5000000 @ -O1, 3.739402
14/03/24, 5000000 @ -O2, 3.876139
14/03/24, 5000000 @ -O3, 3.853842
14/03/24, 10000000 @ -O0, 14.722551
14/03/24, 10000000 @ -O1, 14.860476
14/03/24, 10000000 @ -O2, 15.382799
14/03/24, 10000000 @ -O3, 15.286283
15/03/24, 500000 @ -O0, 0.036997
15/03/24, 500000 @ -O1, 0.037222
15/03/24, 500000 @ -O2, 0.037256
15/03/24, 500000 @ -O3, 0.037924
15/03/24, 1000000 @ -O0, 0.102800
15/03/24, 1000000 @ -O1, 0.103389
15/03/24, 1000000 @ -O2, 0.102549
15/03/24, 1000000 @ -O3, 0.103044
15/03/24, 5000000 @ -O0, 3.862309
15/03/24, 5000000 @ -O1, 4.180258
15/03/24, 5000000 @ -O2, 4.267284
15/03/24, 5000000 @ -O3, 4.371867
15/03/24, 10000000 @ -O0, 15.862839
15/03/24, 10000000 @ -O1, 15.700947
15/03/24, 10000000 @ -O2, 15.548862
15/03/24, 10000000 @ -O3, 15.513799
16/03/24, 500000 @ -O0, 0.037226
16/03/24, 500000 @ -O1, 0.037672
16/03/24, 500000 @ -O2, 0.037648
16/03/24, 500000 @ -O3, 0.037651
16/03/24, 1000000 @ -O0, 0.100643
16/03/24, 1000000 @ -O1, 0.103684
16/03/24, 1000000 @ -O2, 0.104279
16/03/24, 1000000 @ -O3, 0.103745
16/03/24, 5000000 @ -O0, 6.048192
16/03/24, 5000000 @ -O1, 6.323282
16/03/24, 5000000 @ -O2, 6.362981
16/03/24, 5000000 @ -O3, 6.428692
16/03/24, 10000000 @ -O0, 17.999484
16/03/24, 10000000 @ -O1, 18.558378
16/03/24, 10000000 @ -O2, 18.313323
16/03/24, 10000000 @ -O3, 18.507086
17/03/24, 500000 @ -O0, 0.036333
17/03/24, 500000 @ -O1, 0.036681
17/03/24, 500000 @ -O2, 0.037089
17/03/24, 500000 @ -O3, 0.037159
17/03/24, 1000000 @ -O0, 0.100822
17/03/24, 1000000 @ -O1, 0.103026
17/03/24, 1000000 @ -O2, 0.102605
17/03/24, 1000000 @ -O3, 0.102863
17/03/24, 5000000 @ -O0, 4.975655
17/03/24, 5000000 @ -O1, 4.693062
17/03/24, 5000000 @ -O2, 4.123276
17/03/24, 5000000 @ -O3, 4.277835
17/03/24, 10000000 @ -O0, 16.746007
17/03/24, 10000000 @ -O1, 16.094352
17/03/24, 10000000 @ -O2, 15.648075
17/03/24, 10000000 @ -O3, 15.408076
18/03/24, 500000 @ -O0, 0.036429
18/03/24, 500000 @ -O1, 0.036993
18/03/24, 500000 @ -O2, 0.037370
18/03/24, 500000 @ -O3, 0.037186
18/03/24, 1000000 @ -O0, 0.100904
18/03/24, 1000000 @ -O1, 0.102623
18/03/24, 1000000 @ -O2, 0.103579
18/03/24, 1000000 @ -O3, 0.103205
18/03/24, 5000000 @ -O0, 4.160339
18/03/24, 5000000 @ -O1, 3.766630
18/03/24, 5000000 @ -O2, 4.168198
18/03/24, 5000000 @ -O3, 4.173334
18/03/24, 10000000 @ -O0, 16.168324
18/03/24, 10000000 @ -O1, 15.948670
18/03/24, 10000000 @ -O2, 15.739488
18/03/24, 10000000 @ -O3, 16.331136
19/03/24, 500000 @ -O0, 0.036088
19/03/24, 500000 @ -O1, 0.036339
19/03/24, 500000 @ -O2, 0.036636
19/03/24, 500000 @ -O3, 0.036836
19/03/24, 1000000 @ -O0, 0.099536
19/03/24, 1000000 @ -O1, 0.101173
19/03/24, 1000000 @ -O2, 0.101140
19/03/24, 1000000 @ -O3, 0.101054
19/03/24, 5000000 @ -O0, 4.135971
19/03/24, 5000000 @ -O1, 5.353593
19/03/24, 5000000 @ -O2, 4.942380
19/03/24, 5000000 @ -O3, 5.030704
19/03/24, 10000000 @ -O0, 15.531607
19/03/24, 10000000 @ -O1, 15.727265
19/03/24, 10000000 @ -O2, 17.066432
19/03/24, 10000000 @ -O3, 17.095386
20/03/24, 500000 @ -O0, 0.036237
20/03/24, 500000 @ -O1, 0.037665
20/03/24, 500000 @ -O2, 0.036749
20/03/24, 500000 @ -O3, 0.036505
20/03/24, 1000000 @ -O0, 0.100448
20/03/24, 1000000 @ -O1, 0.101471
20/03/24, 1000000 @ -O2, 0.101568
20/03/24, 1000000 @ -O3, 0.100984
20/03/24, 5000000 @ -O0, 4.360095
20/03/24, 5000000 @ -O1, 3.702330
20/03/24, 5000000 @ -O2, 3.547403
20/03/24, 5000000 @ -O3, 3.524540
20/03/24, 10000000 @ -O0, 16.221746
20/03/24, 10000000 @ -O1, 16.656090
20/03/24, 10000000 @ -O2, 16.119585
20/03/24, 10000000 @ -O3, 16.078379
21/03/24, 500000 @ -O0, 0.036177
21/03/24, 500000 @ -O1, 0.034733
21/03/24, 500000 @ -O2, 0.034947
21/03/24, 500000 @ -O3, 0.034924
